index,artist_all,artist_base,rank,song,year,artist_featured
24,sweet sensation,sweet sensation,25,if wishes came true,1990,
25,snap!,snap!,26,the power,1990,
26,nelson,nelson,27,(can't live without your) love and affection,1990,
27,taylor dayne,taylor dayne,28,love will lead you back,1990,
28,jane child,jane child,29,don't wanna fall in love,1990,
29,seduction,seduction,30,two to make it right,1990,
30,linear,linear,31,sending all my love,1990,
31,poison,poison,32,unskinny bop,1990,
32,new kids on the block,new kids on the block,33,step by step,1990,
33,roxette,roxette,34,dangerous,1990,
34,billy joel,billy joel,35,we didn't start the fire,1990,
35,james ingram,james ingram,36,i don't have the heart,1990,
36,rod stewart,rod stewart,37,downtown train,1990,
37,janet jackson,janet jackson,38,rhythm nation,1990,
38,tommy page,tommy page,39,i'll be your everything,1990,
39,the b-52s,the b-52s,40,roam,1990,
40,jody watley,jody watley,41,everything,1990,
41,soul ii soul  featuring  caron wheeler,soul ii soul,42,back to life (however do you want me),1990, caron wheeler
42,luther vandross,luther vandross,43,here and now,1990,
43,janet jackson,janet jackson,44,alright,1990,
44,vanilla ice,vanilla ice,45,ice ice baby,1990,
45,milli vanilli,milli vanilli,46,blame it on the rain,1990,
46,mc hammer,mc hammer,47,have you seen her,1990,
47,taylor dayne,taylor dayne,48,with every beat of my heart,1990,
48,janet jackson,janet jackson,49,come back to me,1990,
49,michel'le,michel'le,50,no more lies,1990,
50,george michael,george michael,51,praying for time,1990,
51,michael bolton,michael bolton,52,how can we be lovers,1990,
52,phil collins,phil collins,53,do you remember,1990,
53,after 7,after 7,54,ready or not,1990,
54,mc hammer,mc hammer,55,u can't touch this,1990,
55,phil collins,phil collins,56,i wish it would rain down,1990,
56,lou gramm,lou gramm,57,just between you and me,1990,
57,phil collins,phil collins,58,something happened on the way to heaven,1990,
58,janet jackson,janet jackson,59,black cat,1990,
59,after 7,after 7,60,can't stop,1990,
60,aerosmith,aerosmith,61,janie's got a gun,1990,
61,digital underground,digital underground,62,the humpty dance,1990,
62,taylor dayne,taylor dayne,63,i'll be your shelter,1990,
63,tom petty,tom petty,64,free fallin',1990,
64,pebbles,pebbles,65,giving you the benefit,1990,
65,depeche mode,depeche mode,66,enjoy the silence,1990,
66,tesla,tesla,67,love song,1990,
67,bad english,bad english,68,price of love,1990,
68,tyler collins,tyler collins,69,girls nite out,1990,
69,go west,go west,70,king of wishful thinking,1990,
70,chicago,chicago,71,what kind of man would i be?,1990,
71,skid row,skid row,72,i remember you,1990,
72,technotronic  featuring  ya kid k,technotronic,73,get up! (before the night is over),1990, ya kid k
73,gloria estefan,gloria estefan,74,here we are,1990,
74,faith no more,faith no more,75,epic,1990,
75,mariah carey,mariah carey,76,love takes time,1990,
76,cher,cher,77,just like jesse james,1990,
77,the b-52s,the b-52s,78,love shack,1990,
78,milli vanilli,milli vanilli,79,all or nothing,1990,
79,dino,dino,80,romeo,1990,
80,black box,black box,81,everybody everybody,1990,
81,billy joel,billy joel,82,i go to extremes,1990,
82,babyface,babyface,83,whip appeal,1990,
83,paul young,paul young,84,oh girl,1990,
84,d mob  featuring  cathy dennis,d mob,85,c'mon and get my love,1990, cathy dennis
85,paula abdul,paula abdul,86,(it's just) the way that you love me,1990,
86,the cover girls,the cover girls,87,we can't go wrong,1990,
87,michael bolton,michael bolton,88,when i'm back on my feet again,1990,
88,keith sweat,keith sweat,89,make you sweat,1990,
89,new kids on the block,new kids on the block,90,this one's for the children,1990,
90,aerosmith,aerosmith,91,what it takes,1990,
91,kiss,kiss,92,forever,1990,
92,the time,the time,93,jerk out,1990,
93,biz markie,biz markie,94,just a friend,1990,
94,a'me lorain,a'me lorain,95,whole wide world,1990,
95,mötley crüe,mötley crüe,96,without you,1990,
96,jive bunny and the mastermixers,jive bunny and the mastermixers,97,swing the mood,1990,
97,prince,prince,98,thieves in the temple,1990,
98,mellow man ace,mellow man ace,99,mentirosa,1990,
99,kyper,kyper,100,tic-tac-toe,1990,
0,bryan adams,bryan adams,1,(everything i do) i do it for you,1991,
1,color me badd,color me badd,2,i wanna sex you up,1991,
2,c+c music factory,c+c music factory,3,gonna make you sweat (everybody dance now),1991,
3,paula abdul,paula abdul,4,rush rush,1991,
4,timmy t,timmy t,5,one more try,1991,
5,emf,emf,6,unbelievable,1991,
6,extreme,extreme,7,more than words,1991,
7,hi-five,hi-five,8,i like the way (the kissing game),1991,
8,surface,surface,9,the first time,1991,
9,amy grant,amy grant,10,baby baby,1991,
10,boyz ii men,boyz ii men,11,motownphilly,1991,
11,stevie b,stevie b,12,because i love you (the postman song),1991,
12,mariah carey,mariah carey,13,someday,1991,
13,damn yankees,damn yankees,14,high enough,1991,
14,bette midler,bette midler,15,from a distance,1991,
15,whitney houston,whitney houston,16,all the man that i need,1991,
16,jesus jones,jesus jones,17,"right here, right now",1991,
17,color me badd,color me badd,18,i adore mi amor,1991,
18,janet jackson,janet jackson,19,love will never do (without you),1991,
19,marky mark and the funky bunch  featuring  loleatta holloway,marky mark and the funky bunch,20,good vibrations,1991, loleatta holloway
20,madonna,madonna,21,justify my love,1991,
21,mariah carey,mariah carey,22,emotions,1991,
22,roxette,roxette,23,joyride,1991,
23,karyn white,karyn white,24,romantic,1991,
24,tara kemp,tara kemp,25,hold you tight,1991,
25,mariah carey,mariah carey,26,i don't wanna cry,1991,
26,wilson phillips,wilson phillips,27,you're in love,1991,
27,amy grant,amy grant,28,every heartbeat,1991,
28,ralph tresvant,ralph tresvant,29,sensitivity,1991,
29,cathy dennis,cathy dennis,30,touch me (all night long),1991,
30,londonbeat,londonbeat,31,i've been thinking about you,1991,
31,natural selection,natural selection,32,do anything,1991,
32,r.e.m.,r.e.m.,33,losing my religion,1991,
33,gloria estefan,gloria estefan,34,coming out of the dark,1991,
34,lenny kravitz,lenny kravitz,35,it ain't over 'til it's over,1991,
35,c+c music factory,c+c music factory,36,here we go,1991,
36,celine dion,celine dion,37,where does my heart beat now,1991,
37,dj jazzy jeff & the fresh prince,dj jazzy jeff & the fresh prince,38,summertime,1991,
38,scorpions,scorpions,39,wind of change,1991,
39,rythm syndicate,rythm syndicate,40,p.a.s.s.i.o.n.,1991,
40,paula abdul,paula abdul,41,the promise of a new day,1991,
41,whitney houston,whitney houston,42,i'm your baby tonight,1991,
42,firehouse,firehouse,43,love of a lifetime,1991,
43,roxette,roxette,44,fading like a flower (every time you leave),1991,
44,tracie spencer,tracie spencer,45,this house,1991,
45,extreme,extreme,46,hole hearted,1991,
46,luther vandross,luther vandross,47,power of love/love power,1991,
47,wilson phillips,wilson phillips,48,impulsive,1991,
48,michael bolton,michael bolton,49,love is a wonderful thing,1991,
49,rod stewart,rod stewart,50,rhythm of my heart,1991,
50,c+c music factory,c+c music factory,51,things that make you go hmmm...,1991,
51,divinyls,divinyls,52,i touch myself,1991,
52,dna  featuring  suzanne vega,dna,53,tom's diner,1991, suzanne vega
53,another bad creation,another bad creation,54,iesha,1991,
54,bonnie raitt,bonnie raitt,55,something to talk about,1991,
55,nelson,nelson,56,after the rain,1991,
56,vanilla ice,vanilla ice,57,play that funky music,1991,
57,corina,corina,58,temptation,1991,
58,bryan adams,bryan adams,59,can't stop this thing we started,1991,
59,hi-five,hi-five,60,i can't wait another minute,1991,
60,the klf,the klf,61,3 a.m. eternal,1991,
61,michael bolton,michael bolton,62,"time, love and tenderness",1991,
62,enigma,enigma,63,sadeness (part i),1991,
63,ll cool j,ll cool j,64,around the way girl,1991,
64,the escape club,the escape club,65,i'll be there,1991,
65,prince  and  the new power generation,prince,66,cream,1991,
66,heavy d & the boyz,heavy d,67,now that we found love,1991,
67,styx,styx,68,show me the way,1991,
68,mariah carey,mariah carey,69,love takes time,1991,
69,rick astley,rick astley,70,cry for help,1991,
70,ub40,ub40,71,the way you do the things you do,1991,
71,ub40,ub40,72,here i am (come and take me),1991,
72,tesla,tesla,73,signs,1991,
73,cathy dennis,cathy dennis,74,too many walls,1991,
74,seal,seal,75,crazy,1991,
75,keith sweat,keith sweat,76,i'll give all my love to you,1991,
76,michael w. smith,michael w. smith,77,place in this world,1991,
77,poison,poison,78,something to believe in,1991,
78,chris isaak,chris isaak,79,wicked game,1991,
79,oleta adams,oleta adams,80,get here,1991,
80,tevin campbell,tevin campbell,81,round and round,1991,
81,queensrÿche,queensrÿche,82,silent lucidity,1991,
82,will to power,will to power,83,i'm not in love,1991,
83,tara kemp,tara kemp,84,piece of my heart,1991,
84,jesus jones,jesus jones,85,real real real,1991,
85,aaron neville,aaron neville,86,everybody plays the fool,1991,
86,cathy dennis,cathy dennis,87,just another dream,1991,
87,black box,black box,88,strike it up,1991,
88,gerardo,gerardo mejía,89,rico suave,1991,
89,inxs,inxs,90,disappear,1991,
90,deee-lite,deee-lite,91,groove is in the heart,1991,
91,sting,sting,92,all this time,1991,
92,chesney hawkes,chesney hawkes,93,the one and only,1991,
93,naughty by nature,naughty by nature,94,o.p.p.,1991,
94,george michael,george michael,95,freedom 90,1991,
95,warrant,warrant,96,i saw red,1991,
96,winger,winger,97,miles away,1991,
97,salt-n-pepa,salt-n-pepa,98,do you want me,1991,
98,rod stewart,rod stewart,99,the motown song,1991,
99,r.e.m.,r.e.m.,100,shiny happy people,1991,
0,boyz ii men,boyz ii men,1,end of the road,1992,
1,sir mix-a-lot,sir mix-a-lot,2,baby got back,1992,
2,kris kross,kris kross,3,jump,1992,
3,vanessa williams,vanessa williams,4,save the best for last,1992,
4,tlc,tlc,5,baby-baby-baby,1992,
5,eric clapton,eric clapton,6,tears in heaven,1992,
6,en vogue,en vogue,7,my lovin' (you're never gonna get it),1992,
7,red hot chili peppers,red hot chili peppers,8,under the bridge,1992,
8,color me badd,color me badd,9,all 4 love,1992,
9,jon secada,jon secada,10,just another day,1992,
10,shanice,shanice,11,i love your smile,1992,
11,mr. big,mr. big,12,to be with you,1992,
12,right said fred,right said fred,13,i'm too sexy,1992,
13,michael jackson,michael jackson,14,black or white,1992,
14,billy ray cyrus,billy ray cyrus,15,achy breaky heart,1992,
15,mariah carey,mariah carey,16,i'll be there,1992,
16,guns n' roses,guns n' roses,17,november rain,1992,
17,tom cochrane,tom cochrane,18,life is a highway,1992,
18,michael jackson,michael jackson,19,remember the time,1992,
19,cece peniston,cece peniston,20,finally,1992,
20,madonna,madonna,21,this used to be my playground,1992,
21,patty smyth  and  don henley,patty smyth,22,sometimes love just ain't enough,1992,
22,mariah carey,mariah carey,23,can't let go,1992,
23,house of pain,house of pain,24,jump around,1992,
24,prince  and  the new power generation,prince,25,diamonds and pearls,1992,
25,george michael  and  elton john,george michael,26,don't let the sun go down on me,1992,
26,atlantic starr,atlantic starr,27,masterpiece,1992,
27,celine dion,celine dion,28,if you asked me to,1992,
28,en vogue,en vogue,29,giving him something he can feel,1992,
29,joe public,joe public,30,live and learn,1992,
30,jodeci,jodeci,31,come and talk to me,1992,
31,nirvana,nirvana,32,smells like teen spirit,1992,
32,bobby brown,bobby brown,33,humpin' around,1992,
33,sophie b. hawkins,sophie b. hawkins,34,damn i wish i was your lover,1992,
34,tevin campbell,tevin campbell,35,tell me what you want me to do,1992,
35,tlc,tlc,36,ain't 2 proud 2 beg,1992,
36,boyz ii men,boyz ii men,37,it's so hard to say goodbye to yesterday,1992,
37,technotronic  featuring  ya kid k,technotronic,38,move this,1992, ya kid k
38,queen,queen,39,bohemian rhapsody,1992,
39,arrested development,arrested development,40,tennessee,1992,
40,luther vandross  and  janet jackson,luther vandross,41,the best things in life are free,1992,
41,mariah carey,mariah carey,42,make it happen,1992,
42,elton john,elton john,43,the one,1992,
43,p.m. dawn,p.m. dawn,44,set adrift on memory bliss,1992,
44,shakespears sister,shakespears sister,45,stay,1992,
45,hammer,mc hammer,46,2 legit 2 quit,1992,
46,kws,kws,47,please don't go,1992,
47,mint condition,mint condition,48,breakin' my heart (pretty brown eyes),1992,
48,the cover girls,the cover girls,49,wishing on a star,1992,
49,hi-five,hi-five,50,she's playing hard to get,1992,
50,p.m. dawn,p.m. dawn,51,i'd die without you,1992,
51,amy grant,amy grant,52,good for me,1992,
52,toad the wet sprocket,toad the wet sprocket,53,all i want,1992,
53,michael bolton,michael bolton,54,when a man loves a woman,1992,
54,genesis,genesis,55,i can't dance,1992,
55,richard marx,richard marx,56,hazard,1992,
56,u2,u2,57,mysterious ways,1992,
57,george michael,george michael,58,too funky,1992,
58,the heights,the heights,59,how do you talk to an angel,1992,
59,u2,u2,60,one,1992,
60,cece peniston,cece peniston,61,keep on walkin',1992,
61,genesis,genesis,62,hold on my heart,1992,
62,karyn white,karyn white,63,the way i feel about you,1992,
63,celine dion  and  peabo bryson,celine dion,64,beauty and the beast,1992,
64,kris kross,kris kross,65,warm it up,1992,
65,michael jackson,michael jackson,66,in the closet,1992,
66,arrested development,arrested development,67,people everyday,1992,
67,genesis,genesis,68,no son of mine,1992,
68,marky mark and the funky bunch,marky mark and the funky bunch,69,wildside,1992,
69,bryan adams,bryan adams,70,do i have to say the words?,1992,
70,the cure,the cure,71,friday i'm in love,1992,
71,ugly kid joe,ugly kid joe,72,everything about you,1992,
72,paula abdul,paula abdul,73,blowing kisses in the wind,1992,
73,bryan adams,bryan adams,74,thought i'd died and gone to heaven,1992,
74,snap!,snap!,75,rhythm is a dancer,1992,
75,hammer,mc hammer,76,addams groove,1992,
76,michael bolton,michael bolton,77,missing you now,1992,
77,n2deep,n2deep,78,back to the hotel,1992,
78,kathy troccoli,kathy troccoli,79,everything changes,1992,
79,def leppard,def leppard,80,have you ever needed someone so bad,1992,
80,richard marx,richard marx,81,take this heart,1992,
81,firehouse,firehouse,82,when i look into your eyes,1992,
82,jade,jade,83,i wanna love you,1992,
83,boyz ii men,boyz ii men,84,uhh ahh,1992,
84,mary j. blige,mary j. blige,85,real love,1992,
85,the klf,the klf,86,justified and ancient,1992,
86,color me badd,color me badd,87,slow motion,1992,
87,tlc,tlc,88,what about your friends,1992,
88,color me badd,color me badd,89,thinkin' back,1992,
89,charles & eddie,charles & eddie,90,would i lie to you?,1992,
90,amy grant,amy grant,91,that's what love is for,1992,
91,richard marx,richard marx,92,keep coming back,1992,
92,en vogue,en vogue,93,free your mind,1992,
93,keith sweat,keith sweat,94,keep it comin',1992,
94,mr. big,mr. big,95,just take my heart,1992,
95,amy grant,amy grant,96,i will remember you,1992,
96,cece peniston,cece peniston,97,we got a love thang,1992,
97,def leppard,def leppard,98,let's get rocked,1992,
98,das efx,das efx,99,they want efx,1992,
99,bonnie raitt,bonnie raitt,100,i can't make you love me,1992,
0,whitney houston,whitney houston,1,i will always love you,1993,
1,tag team,tag team,2,whoomp! (there it is),1993,
2,ub40,ub40,3,can't help falling in love,1993,
3,janet jackson,janet jackson,4,that's the way love goes,1993,
4,silk,silk,5,freak me,1993,
5,swv,swv,6,weak,1993,
6,shai,shai,7,if i ever fall in love,1993,
7,mariah carey,mariah carey,8,dreamlover,1993,
8,wreckx-n-effect,wreckx-n-effect,9,rump shaker,1993,
9,snow,snow,10,informer,1993,
10,dr. dre,dr. dre,11,nuthin' but a 'g' thang,1993,
11,boyz ii men,boyz ii men,12,in the still of the nite,1993,
12,jade,jade,13,don't walk away,1993,
13,h-town,h-town,14,knockin' da boots,1993,
14,jodeci,jodeci,15,lately,1993,
15,duice,duice,16,dazzey duks,1993,
16,robin s.,robin s.,17,show me love,1993,
17,peabo bryson  and  regina belle,peabo bryson,18,a whole new world,1993,
18,janet jackson,janet jackson,19,if,1993,
19,swv,swv,20,i'm so into you,1993,
20,vanessa williams  and  brian mcknight,vanessa williams,21,love is,1993,
21,soul asylum,soul asylum,22,runaway train,1993,
22,exposé,exposé,23,i'll never get over you (getting over me),1993,
23,paperboy,paperboy,24,ditty,1993,
24,snap!,snap!,25,rhythm is a dancer,1993,
25,billy joel,billy joel,26,the river of dreams,1993,
26,the proclaimers,the proclaimers,27,i'm gonna be (500 miles),1993,
27,spin doctors,spin doctors,28,two princes,1993,
28,swv,swv,29,right here,1993,
29,whitney houston,whitney houston,30,i have nothing,1993,
30,arrested development,arrested development,31,mr. wendal,1993,
31,rod stewart,rod stewart,32,have i told you lately,1993,
32,shanice,shanice,33,saving forever for you,1993,
33,duran duran,duran duran,34,ordinary world,1993,
34,tony! toni! toné!,tony! toni! toné!,35,if i had no loot,1993,
35,meat loaf,meat loaf,36,i'd do anything for love (but i won't do that),1993,
36,onyx,onyx,37,slam,1993,
37,p.m. dawn,p.m. dawn,38,looking through patient eyes,1993,
38,whitney houston,whitney houston,39,i'm every woman,1993,
39,shai,shai,40,baby i'm yours,1993,
40,duran duran,duran duran,41,come undone,1993,
41,tina turner,tina turner,42,i don't wanna fight,1993,
42,p.m. dawn,p.m. dawn,43,i'd die without you,1993,
43,95 south,95 south,44,"whoot, there it is",1993,
44,naughty by nature,naughty by nature,45,hip hop hooray,1993,
45,toni braxton,toni braxton,46,another sad love song,1993,
46,michael jackson,michael jackson,47,will you be there,1993,
47,shai,shai,48,comforter,1993,
48,bobby brown,bobby brown,49,good enough,1993,
49,4 non blondes,4 non blondes,50,what's up,1993,
50,ace of base,ace of base,51,all that she wants,1993,
51,prince  and  the new power generation,prince,52,7,1993,
52,dr. dre  featuring  snoop doggy dogg,dr. dre,53,dre day,1993, snoop doggy dogg
53,brian mcknight,brian mcknight,54,one last cry,1993,
54,xscape,xscape,55,just kickin' it,1993,
55,2pac,2pac,56,i get around,1993,
56,bon jovi,bon jovi,57,bed of roses,1993,
57,mary j. blige,mary j. blige,58,real love,1993,
58,portrait,portrait,59,here we go again!,1993,
59,aerosmith,aerosmith,60,cryin',1993,
60,ugly kid joe,ugly kid joe,61,cat's in the cradle,1993,
61,tlc,tlc,62,what about your friends,1993,
62,positive k,positive k,63,i got a man,1993,
63,zhané,zhané,64,hey mr. d.j.,1993,
64,cypress hill,cypress hill,65,insane in the brain,1993,
65,madonna,madonna,66,deeper and deeper,1993,
66,madonna,madonna,67,rain,1993,
67,jeremy jordan,jeremy jordan,68,the right kind of love,1993,
68,inner circle,inner circle,69,bad boys,1993,
69,boy krazy,boy krazy,70,that's what love can do,1993,
70,jon secada,jon secada,71,do you believe in us,1993,
71,jon secada,jon secada,72,angel,1993,
72,kenny g,kenny g,73,forever in love,1993,
73,janet jackson,janet jackson,74,again,1993,
74,dj jazzy jeff & the fresh prince,dj jazzy jeff & the fresh prince,75,boom! shake the room,1993,
75,restless heart,restless heart,76,when she cries,1993,
76,inner circle,inner circle,77,sweat (a la la la la long),1993,
77,ice cube,ice cube,78,it was a good day,1993,
78,captain hollywood project,captain hollywood project,79,more and more,1993,
79,the heights,the heights,80,how do you talk to an angel,1993,
80,digable planets,digable planets,81,rebirth of slick (cool like dat),1993,
81,haddaway,haddaway,82,what is love,1993,
82,michael bolton,michael bolton,83,to love somebody,1993,
83,en vogue,en vogue,84,"give it up, turn it loose",1993,
84,kris kross,kris kross,85,alright,1993,
85,ice cube  featuring  das efx,ice cube,86,check yo self,1993, das efx
86,sting,sting,87,fields of gold,1993,
87,dino,dino,88,ooh child,1993,
88,go west,go west,89,faithful,1993,
89,rod stewart,rod stewart,90,reason to believe,1993,
90,tears for fears,tears for fears,91,break it down again,1993,
91,joey lawrence,joey lawrence,92,nothin' my love can't fix,1993,
92,green jellÿ,green jellÿ,93,three little pigs,1993,
93,aerosmith,aerosmith,94,livin' on the edge,1993,
94,gin blossoms,gin blossoms,95,hey jealousy,1993,
95,sting,sting,96,if i ever lose my faith in you,1993,
96,tony! toni! tone!,tony! toni! tone!,97,anniversary,1993,
97,jade,jade,98,one woman,1993,
98,taylor dayne,taylor dayne,99,can't get enough of your love,1993,
99,def leppard,def leppard,100,two steps behind,1993,
0,ace of base,ace of base,1,the sign,1994,
1,all-4-one,all-4-one,2,i swear,1994,
2,boyz ii men,boyz ii men,3,i'll make love to you,1994,
3,céline dion,céline dion,4,the power of love,1994,
4,mariah carey,mariah carey,5,hero,1994,
5,lisa loeb and nine stories,lisa loeb,6,stay (i missed you),1994,
6,toni braxton,toni braxton,7,breathe again,1994,
7,"bryan adams ,  rod stewart  and  sting",bryan adams,8,all for love,1994,
8,ace of base,ace of base,9,all that she wants,1994,
9,ace of base,ace of base,10,don't turn around,1994,
10,r. kelly,r. kelly,11,bump n' grind,1994,
11,janet jackson,janet jackson,12,again,1994,
12,madonna,madonna,13,i'll remember,1994,
13,salt-n-pepa  and  en vogue,salt-n-pepa,14,whatta man,1994,
14,john mellencamp  featuring  meshell ndegeocello,john mellencamp,15,wild night,1994, meshell ndegeocello
15,mariah carey,mariah carey,16,without you,1994,
16,toni braxton,toni braxton,17,you mean the world to me,1994,
17,elton john,elton john,18,can you feel the love tonight,1994,
18,prince,prince,19,the most beautiful girl in the world,1994,
19,coolio,coolio,20,fantastic voyage,1994,
20,big mountain,big mountain,21,"baby, i love your way",1994,
21,warren g  featuring  nate dogg,warren g,22,regulate,1994, nate dogg
22,jon secada,jon secada,23,if you go,1994,
23,aaliyah,aaliyah,24,back & forth,1994,
24,richard marx,richard marx,25,now and forever,1994,
25,babyface,babyface,26,when can i see you,1994,
26,bryan adams,bryan adams,27,please forgive me,1994,
27,all-4-one,all-4-one,28,so much in love,1994,
28,salt-n-pepa,salt-n-pepa,29,shoop,1994,
29,janet jackson,janet jackson,30,"any time, any place",1994,
30,collective soul,collective soul,31,shine,1994,
31,michael bolton,michael bolton,32,said i loved you...but i lied,1994,
32,enigma,enigma,33,return to innocence,1994,
33,sheryl crow,sheryl crow,34,all i wanna do,1994,
34,crash test dummies,crash test dummies,35,mmm mmm mmm mmm,1994,
35,tevin campbell,tevin campbell,36,can we talk,1994,
36,da brat,da brat,37,funkdafied,1994,
37,meat loaf,meat loaf,38,i'd do anything for love (but i won't do that),1994,
38,drs,drs,39,gangsta lean,1994,
39,"10,000 maniacs","10,000 maniacs",40,because the night,1994,
40,us3,us3,41,cantaloop (flip fantasia),1994,
41,tag team,tag team,42,whoomp! (there it is),1994,
42,melissa etheridge,melissa etheridge,43,come to my window,1994,
43,changing faces,changing faces,44,stroke you up,1994,
44,tevin campbell,tevin campbell,45,i'm ready,1994,
45,crystal waters,crystal waters,46,100% pure love,1994,
46,mariah carey,mariah carey,47,anytime you need a friend,1994,
47,janet jackson,janet jackson,48,because of love,1994,
48,the cranberries,the cranberries,49,linger,1994,
49,beck,beck,50,loser,1994,
50,gin blossoms,gin blossoms,51,found out about you,1994,
51,snoop doggy dogg,snoop dogg,52,gin and juice,1994,
52,immature,immature,53,never lie,1994,
53,bruce springsteen,bruce springsteen,54,streets of philadelphia,1994,
54,domino,domino,55,getto jam,1994,
55,luther vandross  and  mariah carey,luther vandross,56,endless love,1994,
56,aaron hall,aaron hall,57,i miss you,1994,
57,xscape,xscape,58,understanding,1994,
58,warren g,warren g,59,this d.j.,1994,
59,jodeci,jodeci,60,cry for you,1994,
60,2pac,2pac,61,keep ya head up,1994,
61,snoop doggy dogg,snoop dogg,62,what's my name?,1994,
62,real mccoy,real mccoy,63,another night,1994,
63,r. kelly,r. kelly,64,your body's callin',1994,
64,69 boyz,69 boyz,65,tootsee roll,1994,
65,jimmy cliff,jimmy cliff,66,i can see clearly now,1994,
66,babyface,babyface,67,never keeping secrets,1994,
67,aerosmith,aerosmith,68,crazy,1994,
68,xscape,xscape,69,just kickin' it,1994,
69,aaliyah,aaliyah,70,(at your best) you are love,1994,
70,meat loaf,meat loaf,71,rock and roll dreams come through,1994,
71,aerosmith,aerosmith,72,amazing,1994,
72,erasure,erasure,73,always,1994,
73,zhané,zhané,74,groove thang,1994,
74,gabrielle,gabrielle,75,dreams,1994,
75,culture beat,culture beat,76,mr. vain,1994,
76,tom petty and the heartbreakers,tom petty and the heartbreakers,77,mary jane's last dance,1994,
77,swv,swv,78,anything,1994,
78,joshua kadison,joshua kadison,79,beautiful in my eyes,1994,
79,eternal,eternal,80,stay,1994,
80,craig mack,craig mack,81,flava in ya ear,1994,
81,queen latifah,queen latifah,82,u.n.i.t.y.,1994,
82,seal,seal,83,prayer for the dying,1994,
83,madonna,madonna,84,secret,1994,
84,ini kamoze,ini kamoze,85,here comes the hotstepper,1994,
85,phil collins,phil collins,86,everyday,1994,
86,tim mcgraw,tim mcgraw,87,don't take the girl,1994,
87,heavy d & the boyz,heavy d,88,got me waiting,1994,
88,the four seasons,the four seasons,89,"december, 1963 (oh, what a night)",1994,
89,tim mcgraw,tim mcgraw,90,indian outlaw,1994,
90,bon jovi,bon jovi,91,always,1994,
91,melissa etheridge,melissa etheridge,92,i'm the only one,1994,
92,ahmad,ahmad,93,back in the day,1994,
93,bonnie raitt,bonnie raitt,94,love sneakin' up on you,1994,
94,general public,general public,95,i'll take you there,1994,
95,tevin campbell,tevin campbell,96,always in my heart,1994,
96,haddaway,haddaway,97,what is love,1994,
97,babyface,babyface,98,and our feelings,1994,
98,ice cube  featuring  george clinton,ice cube,99,bop gun (one nation),1994, george clinton
99,brandy,brandy,100,i wanna be down,1994,
0,coolio  featuring  l.v.,coolio,1,gangsta's paradise,1995, l.v.
1,tlc,tlc,2,waterfalls,1995,
2,tlc,tlc,3,creep,1995,
3,seal,seal,4,kiss from a rose,1995,
4,boyz ii men,boyz ii men,5,on bended knee,1995,
5,real mccoy,real mccoy,6,another night,1995,
6,mariah carey,mariah carey,7,fantasy,1995,
7,madonna,madonna,8,take a bow,1995,
8,monica,monica,9,don't take it personal (just one of dem days),1995,
9,montell jordan,montell jordan,10,this is how we do it,1995,
10,dionne farris,dionne farris,11,i know,1995,
11,boyz ii men,boyz ii men,12,water runs dry,1995,
12,adina howard,adina howard,13,freak like me,1995,
13,blues traveler,blues traveler,14,run-around,1995,
14,all-4-one,all-4-one,15,i can love you like that,1995,
15,bryan adams,bryan adams,16,have you ever really loved a woman?,1995,
16,bon jovi,bon jovi,17,always,1995,
17,shaggy,shaggy,18,boombastic,1995,
18,nicki french,nicki french,19,total eclipse of the heart,1995,
19,des'ree,des'ree,20,you gotta be,1995,
20,michael jackson,michael jackson,21,you are not alone,1995,
21,hootie & the blowfish,hootie & the blowfish,22,hold my hand,1995,
22,the notorious b.i.g.,the notorious b.i.g.,23,one more chance,1995,
23,ini kamoze,ini kamoze,24,here comes the hotstepper,1995,
24,soul for real,soul for real,25,candy rain,1995,
25,hootie & the blowfish,hootie & the blowfish,26,let her cry,1995,
26,blessid union of souls,blessid union of souls,27,i believe,1995,
27,tlc,tlc,28,red light special,1995,
28,janet jackson,janet jackson,29,runaway,1995,
29,sheryl crow,sheryl crow,30,strong enough,1995,
30,vanessa williams,vanessa williams,31,colors of the wind,1995,
31,jon b.,jon b.,32,someone to love,1995,
32,hootie & the blowfish,hootie & the blowfish,33,only wanna be with you,1995,
33,brownstone,brownstone,34,if you love me,1995,
34,martin page,martin page,35,in the house of stone and light,1995,
35,luniz,luniz,36,i got 5 on it,1995,
36,brandy,brandy,37,baby,1995,
37,real mccoy,real mccoy,38,run away,1995,
38,sophie b. hawkins,sophie b. hawkins,39,as i lay me down,1995,
39,mokenstef,mokenstef,40,he's mine,1995,
40,collective soul,collective soul,41,december,1995,
41,method man  featuring  mary j. blige,method man,42,i'll be there for you/you're all i need to get by,1995, mary j. blige
42,diana king,diana king,43,shy guy,1995,
43,melissa etheridge,melissa etheridge,44,i'm the only one,1995,
44,soul for real,soul for real,45,every little thing i do,1995,
45,blackstreet,blackstreet,46,before i let you go,1995,
46,the notorious b.i.g.,the notorious b.i.g.,47,big poppa,1995,
47,4 p.m.,4 p.m.,48,sukiyaki,1995,
48,brandy,brandy,49,i wanna be down,1995,
49,boyz ii men,boyz ii men,50,i'll make love to you,1995,
50,2pac,2pac,51,dear mama,1995,
51,jamie walters,jamie walters,52,hold on,1995,
52,dr. dre,dr. dre,53,keep their heads ringin',1995,
53,corona,corona,54,the rhythm of the night,1995,
54,del amitri,del amitri,55,roll to me,1995,
